,fgsm_diff,opt_diff,optu_diff,advGAN_diff,advGANU_diff
0,0.45674428,0.30085036,1.5466279,0.33492038,0.3391529
1,0.13279665,0.30556965,2.4600258,0.38169003,0.47082818
2,0.22873588,0.33710837,2.2450325,0.3224676,0.37412465
3,0.04307905,0.33422384,1.9692142,0.3073733,0.28136578
4,0.2526996,0.330491,1.939408,0.31897545,0.2584533
5,0.45166612,0.35946167,1.9929602,0.22865197,0.2977888
6,0.6854733,0.35686588,1.862652,0.19862354,0.16072619
7,0.2506661,0.335824,1.9760756,0.2978661,0.2891528
8,0.29051855,0.30268487,2.1056206,0.16250688,0.43756825
9,0.27034706,0.31964502,1.8722403,0.3472263,0.34080544
10,0.0034413189,0.3160191,1.9221516,0.27517453,0.2837467
11,0.28043756,0.36478904,1.9638281,0.3042686,0.31345168
12,0.23501262,0.3059693,1.39452,0.26397792,0.1691108
13,0.02621159,0.34233323,1.9835184,0.30615616,0.3038401
14,0.11395678,0.31150424,1.7731582,0.30756798,0.24732536
15,0.43786055,0.32757968,1.8352176,0.3217089,0.302886
16,0.2836721,0.3161177,1.8735846,0.32936913,0.28410894
17,0.56285167,0.48296148,2.5121558,0.21614343,0.18512884
18,0.33071643,0.30062544,1.7908654,0.32164407,0.33236545
19,0.063461594,0.30171293,1.761132,0.2531729,0.29876217
20,0.27862722,0.36429155,1.9951937,0.2898018,0.2959114
21,0.33775327,0.33706117,1.4352493,0.3120284,0.2758028
22,0.01142475,0.30706197,1.1398517,0.16293351,0.33001018
23,0.36374742,0.32856625,2.524981,0.1959104,0.08338377
24,0.042205095,0.34235007,1.965139,0.28676182,0.30113405
25,0.19574222,0.33487836,1.4503293,0.2510048,0.18667498
26,0.14020666,0.30297822,1.7313609,0.300995,0.30793267
27,0.24412552,0.33322802,1.9199436,0.30536106,0.3394288
28,0.08827328,0.33776903,1.8931218,0.33147824,0.26709118
29,0.23131923,0.30341923,1.8502283,0.29866886,0.26417685
30,0.18297866,0.43419147,1.894382,0.32925367,0.33603847
31,0.9258845,0.3287872,1.7532797,0.25254983,0.3242941
32,0.3654345,0.33118308,1.566709,0.27757353,0.33046377
33,0.27265295,0.31922856,1.6812613,0.27710775,0.20989344
34,0.32786426,0.30239332,2.1261733,0.30182782,0.20124996
35,0.1489581,0.47426575,1.761498,0.31549376,0.2927634
36,0.6967878,0.39111972,1.898737,0.35288286,0.3275739
37,0.47767228,0.31668139,1.5154207,0.2555188,0.3427183
38,0.64915514,0.350638,1.183503,0.32577428,0.30339262
39,0.6889398,0.45789006,1.9035667,0.30296227,0.35016522
40,0.8831687,0.4875865,1.1310401,0.16175163,0.032992363
41,0.054128125,0.33578575,2.0133777,0.30641347,0.2878815
42,0.6648754,0.32462028,1.4087238,0.27082637,0.20202553
43,0.27715397,0.30755097,1.9155744,0.2744922,0.31354254
44,0.032159515,0.30480668,2.0132496,0.2778085,0.2736641
45,0.6018291,0.31545198,1.7475765,0.25877398,0.2950523
46,0.28033543,0.3301398,2.0034773,0.29495287,0.3049574
47,0.13324884,0.3093228,2.1147377,0.29543,0.41987306
48,0.062441304,0.30333394,1.9589944,0.29761177,0.34000677
49,0.18007708,0.3062656,1.9602757,0.33112213,0.3171721
50,0.20669958,0.30950803,2.0046587,0.23379433,0.45556867
51,0.057988465,0.30616865,1.9305735,0.28962144,0.3279433
52,0.29793003,0.3722746,1.9499979,0.26939183,0.44290462
53,0.2823974,0.45203328,1.8961563,0.30819035,0.277758
54,0.026750043,0.30219245,2.010253,0.29186016,0.28020716
55,0.26989532,0.32657468,2.061733,0.32491642,0.34969974
56,0.22999832,0.30306798,1.6880254,0.24833882,0.27559173
57,0.48885992,0.41064405,1.9485106,0.3439256,0.3502406
58,0.12939903,0.3114175,2.00902,0.32993534,0.3119435
59,0.040683612,0.3052957,2.0160835,0.2967196,0.28223622
60,0.10750716,0.3015885,2.017712,0.31639552,0.2879234
61,0.267835,0.38679624,2.0002263,0.31449634,0.2914433
62,0.037564054,0.33599812,1.9584537,0.33695143,0.30853754
63,0.13778147,0.32316214,2.0090747,0.3028437,0.26509565
64,0.30211663,0.3523993,1.6012847,0.29094255,0.24177516
65,0.13519004,0.3163667,1.9099889,0.30647215,0.36748177
66,0.13876629,0.54208845,1.6726767,0.26937768,0.24823898
67,1.8522882,0.5427462,1.3376796,0.24841449,0.2772933
68,0.42935067,0.414204,2.1226294,0.3284043,0.3539697
69,0.5484715,0.31189594,0.55560935,0.3133472,0.027521014
70,0.30246115,0.30921066,1.2026705,0.27282143,0.09651089
71,0.40126264,0.40775156,1.8126547,0.26725212,0.25320253
72,1.7426709,1.4565251,2.6458766,0.36949933,1.0873529
73,0.2359962,0.32082075,1.8633851,0.24543698,0.3559131
74,0.4691609,0.42364198,2.0088456,0.26155216,0.28964704
75,0.415624,0.38050377,1.9125193,0.3033971,0.3077438
76,0.59691715,0.3200571,1.7995853,0.29825938,0.29708648
77,0.47224042,0.36589107,1.2238421,0.3335562,0.14930943
78,0.8997422,0.43740815,1.8803122,0.22667916,0.22619523
79,0.16420287,0.31366846,1.8570919,0.28427055,0.3352884
80,0.2808233,0.30009043,1.2939986,0.29308987,0.206339
81,0.67598236,0.3144944,1.5508256,0.26877317,0.23883316
82,0.17572817,0.3300223,2.1949975,0.2779905,0.3427441
83,0.16817515,0.33812547,1.8829107,0.28382787,0.3542211
84,0.25873312,0.31213862,1.9094931,0.29639974,0.28867313
85,0.26466608,0.30899528,1.754422,0.25778034,0.2529877
86,0.0539587,0.3575921,1.9936589,0.23973878,0.3428834
87,0.7196935,0.84730333,1.9986606,0.7569496,1.0374334
88,1.4746503,0.38013947,1.787399,0.4627577,0.30765617
89,0.018172063,0.4006329,2.0079534,0.29738885,0.29275596
90,0.1506865,0.30489945,2.1077952,0.31122977,0.29983783
91,0.19701742,0.31760693,1.841515,0.28499728,0.33279562
92,0.40491953,0.34576204,1.7370055,0.2553403,0.29520407
93,0.14932802,0.3319301,2.0150924,0.32953918,0.28873163
94,1.4754092,0.44943,1.2993007,0.22217965,0.13832057
95,0.41878873,0.3321203,1.7826905,0.33121848,0.35720825
96,0.4383712,0.37105143,2.4091575,0.3645447,0.60157514
97,0.24610373,0.3479033,2.001684,0.2540606,0.3057579
98,0.14116958,0.30222338,1.9418344,0.32450423,0.32380477
99,0.32118106,0.3066399,2.0022116,0.32412297,0.33815026
100,0.19133195,0.3682575,1.7802359,0.34299013,0.35119566
101,0.52223766,0.3731132,2.6651874,0.38810197,0.12298751
102,1.1025907,0.89953315,1.9353863,0.18976603,0.9621639
103,0.0947566,0.30734673,1.9509296,0.2835634,0.272176
104,0.048222438,0.3132032,1.7863282,0.3082021,0.30411553
105,1.9466356,0.5464246,1.4632896,0.53386426,0.22316265
106,0.092623845,0.31511378,1.9015654,0.31431276,0.32461703
107,1.7085787,0.6131853,1.7230891,0.1505869,0.20947266
108,0.17622107,0.3020218,1.9489765,0.30786103,0.28827175
109,0.29773027,0.3799482,2.0883424,0.4599461,0.39417267
110,0.07893658,0.3215456,2.1837132,0.30260444,0.2675613
111,0.28311253,0.3066427,1.4180592,0.31177115,0.24079937
112,0.1849025,0.34217033,1.6747353,0.2620121,0.2738194
113,0.5824361,0.35480386,1.8974961,0.31301907,0.31145453
114,0.41842774,0.39932823,2.0179026,0.32226324,0.27894503
