threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.0,5064,116,5063,2244,5065,2244,0.998422712933754,0.022870662460567823,0.9982255520504731,0.44242902208201895,0.9986198738170347,0.44242902208201895
0.01,3429,5,3703,198,4396,198,0.676064668769716,0.0009858044164037854,0.7300867507886435,0.039037854889589906,0.8667192429022083,0.039037854889589906
0.02,2527,4,3018,177,3670,177,0.4982255520504732,0.0007886435331230284,0.5950315457413249,0.034897476340694004,0.7235804416403786,0.034897476340694004
0.03,1947,4,2640,160,3189,160,0.38387223974763407,0.0007886435331230284,0.5205047318611987,0.031545741324921134,0.6287460567823344,0.031545741324921134
0.04,1579,3,2391,152,2862,153,0.31131703470031546,0.0005914826498422713,0.47141167192429023,0.02996845425867508,0.5642744479495269,0.030165615141955836
0.05,1343,3,2212,146,2634,147,0.2647870662460568,0.0005914826498422713,0.4361198738170347,0.028785488958990538,0.5193217665615142,0.028982649842271294
0.06,1171,3,2086,142,2477,143,0.23087539432176657,0.0005914826498422713,0.4112776025236593,0.027996845425867507,0.48836750788643535,0.028194006309148267
0.07,1021,3,1978,137,2335,138,0.201301261829653,0.0005914826498422713,0.38998422712933756,0.02701104100946372,0.46037066246056785,0.02720820189274448
0.08,894,3,1876,133,2203,134,0.17626182965299683,0.0005914826498422713,0.3698738170347003,0.026222397476340694,0.4343454258675079,0.02641955835962145
0.09,812,3,1783,131,2091,132,0.16009463722397477,0.0005914826498422713,0.3515378548895899,0.02582807570977918,0.4122634069400631,0.026025236593059938
0.1,732,3,1715,128,1999,129,0.1443217665615142,0.0005914826498422713,0.33813091482649843,0.025236593059936908,0.39412460567823343,0.025433753943217667
0.11,668,3,1653,128,1910,129,0.13170347003154576,0.0005914826498422713,0.3259069400630915,0.025236593059936908,0.37657728706624605,0.025433753943217667
0.12,607,3,1586,128,1818,129,0.11967665615141956,0.0005914826498422713,0.31269716088328076,0.025236593059936908,0.3584384858044164,0.025433753943217667
0.13,566,3,1551,125,1769,126,0.11159305993690852,0.0005914826498422713,0.30579652996845424,0.024645110410094637,0.3487776025236593,0.024842271293375396
0.14,527,3,1518,124,1727,125,0.103903785488959,0.0005914826498422713,0.2992902208201893,0.02444794952681388,0.3404968454258675,0.024645110410094637
0.15,490,3,1474,122,1672,123,0.09660883280757097,0.0005914826498422713,0.290615141955836,0.024053627760252366,0.32965299684542587,0.02425078864353312
0.16,456,3,1441,121,1624,122,0.08990536277602523,0.0005914826498422713,0.284108832807571,0.02385646687697161,0.32018927444794953,0.024053627760252366
0.17,436,3,1408,118,1583,119,0.0859621451104101,0.0005914826498422713,0.277602523659306,0.02326498422712934,0.3121056782334385,0.023462145110410094
0.18,412,2,1378,118,1546,118,0.08123028391167192,0.0003943217665615142,0.27168769716088326,0.02326498422712934,0.30481072555205047,0.02326498422712934
0.19,392,2,1353,116,1516,116,0.07728706624605679,0.0003943217665615142,0.26675867507886436,0.022870662460567823,0.29889589905362773,0.022870662460567823
0.2,376,1,1323,115,1486,115,0.07413249211356467,0.0001971608832807571,0.26084384858044163,0.022673501577287068,0.29298107255520506,0.022673501577287068
0.21,353,1,1293,114,1446,114,0.06959779179810725,0.0001971608832807571,0.25492902208201895,0.022476340694006308,0.28509463722397477,0.022476340694006308
0.22,323,1,1261,114,1402,114,0.06368296529968455,0.0001971608832807571,0.2486198738170347,0.022476340694006308,0.27641955835962145,0.022476340694006308
0.23,305,1,1239,113,1373,113,0.060134069400630916,0.0001971608832807571,0.24428233438485805,0.022279179810725552,0.2707018927444795,0.022279179810725552
0.24,289,1,1216,113,1346,113,0.0569794952681388,0.0001971608832807571,0.23974763406940064,0.022279179810725552,0.26537854889589907,0.022279179810725552
0.25,284,1,1192,113,1320,113,0.055993690851735015,0.0001971608832807571,0.23501577287066247,0.022279179810725552,0.26025236593059936,0.022279179810725552
0.26,273,1,1171,112,1295,112,0.053824921135646686,0.0001971608832807571,0.23087539432176657,0.022082018927444796,0.25532334384858046,0.022082018927444796
0.27,262,0,1154,112,1273,112,0.05165615141955836,0.0,0.2275236593059937,0.022082018927444796,0.2509858044164038,0.022082018927444796
0.28,253,0,1136,112,1253,112,0.04988170347003155,0.0,0.22397476340694006,0.022082018927444796,0.24704258675078863,0.022082018927444796
0.29,246,0,1117,112,1230,112,0.04850157728706624,0.0,0.22022870662460567,0.022082018927444796,0.24250788643533122,0.022082018927444796
0.3,242,0,1102,111,1215,111,0.04771293375394322,0.0,0.21727129337539433,0.021884858044164037,0.23955047318611988,0.021884858044164037
