threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.0,5064,5059,5063,5060,5065,5060,0.998422712933754,0.9974369085173501,0.9982255520504731,0.9976340694006309,0.9986198738170347,0.9976340694006309
0.01,3429,4837,3703,4981,4396,5000,0.676064668769716,0.9536671924290221,0.7300867507886435,0.982058359621451,0.8667192429022083,0.9858044164037855
0.02,2527,4678,3018,4946,3670,4977,0.4982255520504732,0.9223186119873817,0.5950315457413249,0.9751577287066246,0.7235804416403786,0.981269716088328
0.03,1947,4522,2640,4921,3189,4962,0.38387223974763407,0.8915615141955836,0.5205047318611987,0.9702287066246057,0.6287460567823344,0.9783123028391167
0.04,1579,4364,2391,4904,2862,4939,0.31131703470031546,0.860410094637224,0.47141167192429023,0.9668769716088328,0.5642744479495269,0.9737776025236593
0.05,1343,4202,2212,4888,2634,4923,0.2647870662460568,0.8284700315457413,0.4361198738170347,0.9637223974763407,0.5193217665615142,0.9706230283911672
0.06,1171,4066,2086,4880,2477,4915,0.23087539432176657,0.8016561514195584,0.4112776025236593,0.9621451104100947,0.48836750788643535,0.9690457413249212
0.07,1021,3910,1978,4863,2335,4901,0.201301261829653,0.7708990536277602,0.38998422712933756,0.9587933753943217,0.46037066246056785,0.9662854889589906
0.08,894,3760,1876,4853,2203,4893,0.17626182965299683,0.7413249211356467,0.3698738170347003,0.9568217665615142,0.4343454258675079,0.9647082018927445
0.09,812,3620,1783,4839,2091,4882,0.16009463722397477,0.7137223974763407,0.3515378548895899,0.9540615141955836,0.4122634069400631,0.9625394321766562
0.1,732,3480,1715,4832,1999,4877,0.1443217665615142,0.6861198738170347,0.33813091482649843,0.9526813880126183,0.39412460567823343,0.9615536277602523
0.11,668,3339,1653,4819,1910,4868,0.13170347003154576,0.6583201892744479,0.3259069400630915,0.9501182965299685,0.37657728706624605,0.9597791798107256
0.12,607,3203,1586,4812,1818,4858,0.11967665615141956,0.631506309148265,0.31269716088328076,0.9487381703470031,0.3584384858044164,0.957807570977918
0.13,566,3065,1551,4800,1769,4848,0.11159305993690852,0.6042981072555205,0.30579652996845424,0.9463722397476341,0.3487776025236593,0.9558359621451105
0.14,527,2930,1518,4795,1727,4841,0.103903785488959,0.5776813880126183,0.2992902208201893,0.9453864353312302,0.3404968454258675,0.9544558359621451
0.15,490,2787,1474,4783,1672,4832,0.09660883280757097,0.54948738170347,0.290615141955836,0.9430205047318612,0.32965299684542587,0.9526813880126183
0.16,456,2652,1441,4775,1624,4823,0.08990536277602523,0.5228706624605678,0.284108832807571,0.9414432176656151,0.32018927444794953,0.9509069400630915
0.17,436,2532,1408,4770,1583,4817,0.0859621451104101,0.499211356466877,0.277602523659306,0.9404574132492114,0.3121056782334385,0.949723974763407
0.18,412,2409,1378,4765,1546,4813,0.08123028391167192,0.47496056782334384,0.27168769716088326,0.9394716088328076,0.30481072555205047,0.948935331230284
0.19,392,2303,1353,4757,1516,4805,0.07728706624605679,0.4540615141955836,0.26675867507886436,0.9378943217665615,0.29889589905362773,0.9473580441640379
0.2,376,2197,1323,4746,1486,4799,0.07413249211356467,0.43316246056782337,0.26084384858044163,0.9357255520504731,0.29298107255520506,0.9461750788643533
0.21,353,2106,1293,4738,1446,4793,0.06959779179810725,0.4152208201892745,0.25492902208201895,0.9341482649842271,0.28509463722397477,0.9449921135646687
0.22,323,1991,1261,4724,1402,4779,0.06368296529968455,0.3925473186119874,0.2486198738170347,0.9313880126182965,0.27641955835962145,0.9422318611987381
0.23,305,1893,1239,4714,1373,4770,0.060134069400630916,0.3732255520504732,0.24428233438485805,0.929416403785489,0.2707018927444795,0.9404574132492114
0.24,289,1806,1216,4707,1346,4762,0.0569794952681388,0.3560725552050473,0.23974763406940064,0.9280362776025236,0.26537854889589907,0.9388801261829653
0.25,284,1725,1192,4699,1320,4755,0.055993690851735015,0.340102523659306,0.23501577287066247,0.9264589905362776,0.26025236593059936,0.9375
0.26,273,1638,1171,4689,1295,4747,0.053824921135646686,0.3229495268138801,0.23087539432176657,0.92448738170347,0.25532334384858046,0.935922712933754
0.27,262,1550,1154,4682,1273,4742,0.05165615141955836,0.3055993690851735,0.2275236593059937,0.9231072555205048,0.2509858044164038,0.9349369085173501
0.28,253,1484,1136,4675,1253,4734,0.04988170347003155,0.29258675078864355,0.22397476340694006,0.9217271293375394,0.24704258675078863,0.9333596214511041
0.29,246,1428,1117,4663,1230,4726,0.04850157728706624,0.28154574132492116,0.22022870662460567,0.9193611987381703,0.24250788643533122,0.931782334384858
0.3,242,1343,1102,4651,1215,4715,0.04771293375394322,0.2647870662460568,0.21727129337539433,0.9169952681388013,0.23955047318611988,0.9296135646687698
0.31,235,1291,1084,4645,1196,4712,0.04633280757097792,0.25453470031545744,0.2137223974763407,0.9158123028391167,0.2358044164037855,0.9290220820189274
0.32,228,1245,1070,4638,1180,4706,0.044952681388012616,0.2454652996845426,0.2109621451104101,0.9144321766561514,0.23264984227129337,0.9278391167192429
0.33,220,1187,1061,4631,1167,4701,0.04337539432176656,0.23402996845425866,0.20918769716088328,0.9130520504731862,0.23008675078864355,0.9268533123028391
0.34,210,1132,1046,4624,1151,4696,0.04140378548895899,0.22318611987381703,0.20623028391167192,0.9116719242902208,0.22693217665615142,0.9258675078864353
0.35000000000000003,204,1070,1035,4615,1137,4687,0.04022082018927445,0.2109621451104101,0.2040615141955836,0.909897476340694,0.22417192429022081,0.9240930599369085
0.36,197,1014,1024,4607,1125,4681,0.03884069400630915,0.1999211356466877,0.20189274447949526,0.9083201892744479,0.22180599369085174,0.922910094637224
0.37,193,969,1013,4599,1113,4675,0.03805205047318612,0.19104889589905363,0.19972397476340695,0.9067429022082019,0.21944006309148265,0.9217271293375394
0.38,188,922,1004,4592,1103,4670,0.03706624605678233,0.18178233438485805,0.19794952681388012,0.9053627760252366,0.2174684542586751,0.9207413249211357
0.39,181,881,996,4585,1092,4662,0.035686119873817035,0.173698738170347,0.19637223974763407,0.9039826498422713,0.21529968454258674,0.9191640378548895
0.4,177,843,981,4575,1076,4654,0.034897476340694004,0.16620662460567823,0.1934148264984227,0.9020110410094637,0.21214511041009465,0.9175867507886435
0.41000000000000003,176,799,968,4569,1062,4648,0.03470031545741325,0.1575315457413249,0.19085173501577288,0.9008280757097792,0.20938485804416404,0.916403785488959
0.42,171,775,954,4560,1048,4642,0.03371451104100946,0.15279968454258674,0.18809148264984227,0.8990536277602523,0.20662460567823343,0.9152208201892744
