threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.0,5064,4713,5063,4926,5065,4934,0.998422712933754,0.9292192429022083,0.9982255520504731,0.9712145110410094,0.9986198738170347,0.9727917981072555
0.01,3429,3155,3703,4187,4396,4318,0.676064668769716,0.6220425867507886,0.7300867507886435,0.82551261829653,0.8667192429022083,0.8513406940063092
0.02,2527,2682,3018,3916,3670,4089,0.4982255520504732,0.5287854889589906,0.5950315457413249,0.7720820189274448,0.7235804416403786,0.8061908517350158
0.03,1947,2353,2640,3725,3189,3922,0.38387223974763407,0.46391955835962145,0.5205047318611987,0.7344242902208202,0.6287460567823344,0.7732649842271293
0.04,1579,2088,2391,3582,2862,3782,0.31131703470031546,0.4116719242902208,0.47141167192429023,0.706230283911672,0.5642744479495269,0.7456624605678234
0.05,1343,1912,2212,3441,2634,3663,0.2647870662460568,0.37697160883280756,0.4361198738170347,0.6784305993690851,0.5193217665615142,0.7222003154574133
0.06,1171,1752,2086,3335,2477,3552,0.23087539432176657,0.34542586750788645,0.4112776025236593,0.6575315457413249,0.48836750788643535,0.7003154574132492
0.07,1021,1620,1978,3240,2335,3450,0.201301261829653,0.3194006309148265,0.38998422712933756,0.638801261829653,0.46037066246056785,0.680205047318612
0.08,894,1502,1876,3167,2203,3382,0.17626182965299683,0.29613564668769715,0.3698738170347003,0.6244085173501577,0.4343454258675079,0.6667981072555205
0.09,812,1388,1783,3109,2091,3313,0.16009463722397477,0.27365930599369087,0.3515378548895899,0.6129731861198738,0.4122634069400631,0.6531940063091483
0.1,732,1288,1715,3036,1999,3241,0.1443217665615142,0.2539432176656151,0.33813091482649843,0.5985804416403786,0.39412460567823343,0.6389984227129337
0.11,668,1202,1653,2974,1910,3188,0.13170347003154576,0.23698738170347003,0.3259069400630915,0.5863564668769716,0.37657728706624605,0.6285488958990536
0.12,607,1129,1586,2909,1818,3127,0.11967665615141956,0.22259463722397477,0.31269716088328076,0.5735410094637224,0.3584384858044164,0.6165220820189274
0.13,566,1039,1551,2858,1769,3064,0.11159305993690852,0.20485015772870663,0.30579652996845424,0.5634858044164038,0.3487776025236593,0.6041009463722398
0.14,527,964,1518,2810,1727,3009,0.103903785488959,0.19006309148264985,0.2992902208201893,0.5540220820189274,0.3404968454258675,0.5932570977917981
0.15,490,898,1474,2756,1672,2949,0.09660883280757097,0.17705047318611988,0.290615141955836,0.5433753943217665,0.32965299684542587,0.5814274447949527
0.16,456,851,1441,2710,1624,2902,0.08990536277602523,0.1677839116719243,0.284108832807571,0.5343059936908517,0.32018927444794953,0.5721608832807571
0.17,436,797,1408,2667,1583,2849,0.0859621451104101,0.1571372239747634,0.277602523659306,0.5258280757097792,0.3121056782334385,0.561711356466877
0.18,412,748,1378,2627,1546,2805,0.08123028391167192,0.1474763406940063,0.27168769716088326,0.517941640378549,0.30481072555205047,0.5530362776025236
0.19,392,712,1353,2587,1516,2764,0.07728706624605679,0.14037854889589904,0.26675867507886436,0.5100552050473186,0.29889589905362773,0.5449526813880127
0.2,376,669,1323,2541,1486,2717,0.07413249211356467,0.1319006309148265,0.26084384858044163,0.5009858044164038,0.29298107255520506,0.535686119873817
0.21,353,623,1293,2491,1446,2669,0.06959779179810725,0.12283123028391167,0.25492902208201895,0.49112776025236593,0.28509463722397477,0.5262223974763407
0.22,323,599,1261,2453,1402,2632,0.06368296529968455,0.1180993690851735,0.2486198738170347,0.48363564668769715,0.27641955835962145,0.5189274447949527
0.23,305,561,1239,2409,1373,2585,0.060134069400630916,0.11060725552050474,0.24428233438485805,0.47496056782334384,0.2707018927444795,0.5096608832807571
0.24,289,539,1216,2368,1346,2538,0.0569794952681388,0.10626971608832808,0.23974763406940064,0.4668769716088328,0.26537854889589907,0.5003943217665615
0.25,284,511,1192,2329,1320,2495,0.055993690851735015,0.10074921135646688,0.23501577287066247,0.45918769716088326,0.26025236593059936,0.49191640378548895
0.26,273,490,1171,2296,1295,2465,0.053824921135646686,0.09660883280757097,0.23087539432176657,0.4526813880126183,0.25532334384858046,0.4860015772870662
0.27,262,472,1154,2262,1273,2424,0.05165615141955836,0.09305993690851735,0.2275236593059937,0.44597791798107256,0.2509858044164038,0.47791798107255523
0.28,253,448,1136,2230,1253,2391,0.04988170347003155,0.08832807570977919,0.22397476340694006,0.4396687697160883,0.24704258675078863,0.47141167192429023
0.29,246,430,1117,2199,1230,2356,0.04850157728706624,0.08477917981072555,0.22022870662460567,0.4335567823343849,0.24250788643533122,0.4645110410094637
0.3,242,417,1102,2172,1215,2331,0.04771293375394322,0.08221608832807571,0.21727129337539433,0.4282334384858044,0.23955047318611988,0.45958201892744477
0.31,235,403,1084,2133,1196,2292,0.04633280757097792,0.07945583596214512,0.2137223974763407,0.4205441640378549,0.2358044164037855,0.4518927444794953
0.32,228,392,1070,2096,1180,2257,0.044952681388012616,0.07728706624605679,0.2109621451104101,0.41324921135646686,0.23264984227129337,0.4449921135646688
0.33,220,378,1061,2073,1167,2234,0.04337539432176656,0.07452681388012618,0.20918769716088328,0.4087145110410095,0.23008675078864355,0.44045741324921134
0.34,210,367,1046,2045,1151,2205,0.04140378548895899,0.07235804416403785,0.20623028391167192,0.40319400630914826,0.22693217665615142,0.4347397476340694
0.35000000000000003,204,360,1035,2023,1137,2183,0.04022082018927445,0.07097791798107256,0.2040615141955836,0.3988564668769716,0.22417192429022081,0.43040220820189273
0.36,197,349,1024,1998,1125,2161,0.03884069400630915,0.06880914826498423,0.20189274447949526,0.3939274447949527,0.22180599369085174,0.4260646687697161
0.37,193,331,1013,1959,1113,2120,0.03805205047318612,0.0652602523659306,0.19972397476340695,0.38623817034700314,0.21944006309148265,0.41798107255520506
0.38,188,319,1004,1924,1103,2080,0.03706624605678233,0.06289432176656151,0.19794952681388012,0.37933753943217663,0.2174684542586751,0.41009463722397477
0.39,181,305,996,1889,1092,2042,0.035686119873817035,0.060134069400630916,0.19637223974763407,0.3724369085173502,0.21529968454258674,0.402602523659306
0.4,177,290,981,1872,1076,2020,0.034897476340694004,0.05717665615141956,0.1934148264984227,0.36908517350157727,0.21214511041009465,0.39826498422712936
0.41000000000000003,176,283,968,1849,1062,1998,0.03470031545741325,0.05579652996845426,0.19085173501577288,0.3645504731861199,0.20938485804416404,0.3939274447949527
0.42,171,273,954,1821,1048,1969,0.03371451104100946,0.053824921135646686,0.18809148264984227,0.35902996845425866,0.20662460567823343,0.3882097791798107
0.43,164,267,937,1792,1031,1941,0.032334384858044164,0.052641955835962144,0.1847397476340694,0.35331230283911674,0.20327287066246058,0.38268927444794953
0.44,156,259,923,1771,1013,1916,0.030757097791798107,0.05106466876971609,0.1819794952681388,0.3491719242902208,0.19972397476340695,0.3777602523659306
0.45,151,252,915,1752,1004,1893,0.02977129337539432,0.04968454258675079,0.18040220820189273,0.34542586750788645,0.19794952681388012,0.3732255520504732
0.46,148,244,906,1724,995,1860,0.02917981072555205,0.04810725552050473,0.17862776025236593,0.33990536277602523,0.19617507886435331,0.3667192429022082
0.47000000000000003,145,236,897,1696,985,1832,0.02858832807570978,0.04652996845425868,0.17685331230283913,0.334384858044164,0.19420347003154576,0.361198738170347
0.48,143,229,881,1676,969,1810,0.028194006309148267,0.04514984227129337,0.173698738170347,0.3304416403785489,0.19104889589905363,0.35686119873817035
0.49,136,222,868,1656,952,1789,0.026813880126182965,0.043769716088328074,0.17113564668769715,0.3264984227129338,0.18769716088328076,0.3527208201892745
0.5,131,218,863,1641,945,1773,0.02582807570977918,0.04298107255520505,0.17014984227129337,0.3235410094637224,0.18631703470031546,0.3495662460567823
0.51,130,210,855,1617,937,1747,0.025630914826498423,0.04140378548895899,0.16857255520504733,0.31880914826498424,0.1847397476340694,0.3444400630914827
