threshold,orig_detected_bit,adv_detected_bit,orig_detected_blur,adv_detected_blur,orig_detected_both,adv_detected_both,orig_detected_bit_rate,adv_detected_bit_rate,orig_detected_blur_rate,adv_detected_blur_rate,orig_detected_both_rate,adv_detected_both_rate
0.0,5064,5039,5063,5054,5065,5055,0.998422712933754,0.993493690851735,0.9982255520504731,0.9964511041009464,0.9986198738170347,0.9966482649842271
0.01,3429,3886,3703,4867,4396,4897,0.676064668769716,0.7661671924290221,0.7300867507886435,0.9595820189274448,0.8667192429022083,0.9654968454258676
0.02,2527,3355,3018,4806,3670,4843,0.4982255520504732,0.6614747634069401,0.5950315457413249,0.9475552050473186,0.7235804416403786,0.9548501577287066
0.03,1947,2916,2640,4772,3189,4803,0.38387223974763407,0.5749211356466877,0.5205047318611987,0.9408517350157729,0.6287460567823344,0.9469637223974764
0.04,1579,2566,2391,4737,2862,4768,0.31131703470031546,0.5059148264984227,0.47141167192429023,0.9339511041009464,0.5642744479495269,0.9400630914826499
0.05,1343,2254,2212,4703,2634,4733,0.2647870662460568,0.4444006309148265,0.4361198738170347,0.9272476340694006,0.5193217665615142,0.9331624605678234
0.06,1171,1972,2086,4680,2477,4710,0.23087539432176657,0.388801261829653,0.4112776025236593,0.9227129337539433,0.48836750788643535,0.9286277602523659
0.07,1021,1732,1978,4654,2335,4682,0.201301261829653,0.3414826498422713,0.38998422712933756,0.9175867507886435,0.46037066246056785,0.9231072555205048
0.08,894,1528,1876,4634,2203,4661,0.17626182965299683,0.30126182965299686,0.3698738170347003,0.9136435331230284,0.4343454258675079,0.9189668769716088
0.09,812,1357,1783,4620,2091,4646,0.16009463722397477,0.2675473186119874,0.3515378548895899,0.9108832807570978,0.4122634069400631,0.9160094637223974
0.1,732,1207,1715,4603,1999,4628,0.1443217665615142,0.2379731861198738,0.33813091482649843,0.9075315457413249,0.39412460567823343,0.9124605678233438
0.11,668,1078,1653,4587,1910,4611,0.13170347003154576,0.21253943217665616,0.3259069400630915,0.9043769716088328,0.37657728706624605,0.9091088328075709
0.12,607,960,1586,4571,1818,4595,0.11967665615141956,0.1892744479495268,0.31269716088328076,0.9012223974763407,0.3584384858044164,0.9059542586750788
0.13,566,871,1551,4556,1769,4579,0.11159305993690852,0.17172712933753942,0.30579652996845424,0.8982649842271293,0.3487776025236593,0.9027996845425867
0.14,527,780,1518,4539,1727,4561,0.103903785488959,0.15378548895899052,0.2992902208201893,0.8949132492113565,0.3404968454258675,0.8992507886435331
0.15,490,709,1474,4518,1672,4544,0.09660883280757097,0.13978706624605677,0.290615141955836,0.8907728706624606,0.32965299684542587,0.8958990536277602
0.16,456,648,1441,4510,1624,4534,0.08990536277602523,0.1277602523659306,0.284108832807571,0.8891955835962145,0.32018927444794953,0.8939274447949527
0.17,436,590,1408,4495,1583,4522,0.0859621451104101,0.11632492113564669,0.277602523659306,0.8862381703470031,0.3121056782334385,0.8915615141955836
0.18,412,545,1378,4483,1546,4510,0.08123028391167192,0.10745268138801262,0.27168769716088326,0.8838722397476341,0.30481072555205047,0.8891955835962145
0.19,392,509,1353,4470,1516,4494,0.07728706624605679,0.10035488958990536,0.26675867507886436,0.8813091482649842,0.29889589905362773,0.8860410094637224
0.2,376,476,1323,4457,1486,4483,0.07413249211356467,0.09384858044164038,0.26084384858044163,0.8787460567823344,0.29298107255520506,0.8838722397476341
0.21,353,446,1293,4441,1446,4466,0.06959779179810725,0.08793375394321766,0.25492902208201895,0.8755914826498423,0.28509463722397477,0.8805205047318612
0.22,323,403,1261,4424,1402,4448,0.06368296529968455,0.07945583596214512,0.2486198738170347,0.8722397476340694,0.27641955835962145,0.8769716088328076
0.23,305,385,1239,4408,1373,4433,0.060134069400630916,0.07590694006309148,0.24428233438485805,0.8690851735015773,0.2707018927444795,0.8740141955835962
0.24,289,362,1216,4395,1346,4418,0.0569794952681388,0.07137223974763407,0.23974763406940064,0.8665220820189274,0.26537854889589907,0.8710567823343849
0.25,284,334,1192,4379,1320,4400,0.055993690851735015,0.06585173501577288,0.23501577287066247,0.8633675078864353,0.26025236593059936,0.8675078864353313
0.26,273,316,1171,4369,1295,4392,0.053824921135646686,0.062302839116719244,0.23087539432176657,0.8613958990536278,0.25532334384858046,0.8659305993690851
0.27,262,301,1154,4361,1273,4382,0.05165615141955836,0.059345425867507885,0.2275236593059937,0.8598186119873817,0.2509858044164038,0.8639589905362776
0.28,253,279,1136,4345,1253,4366,0.04988170347003155,0.05500788643533123,0.22397476340694006,0.8566640378548895,0.24704258675078863,0.8608044164037855
0.29,246,259,1117,4338,1230,4356,0.04850157728706624,0.05106466876971609,0.22022870662460567,0.8552839116719243,0.24250788643533122,0.8588328075709779
0.3,242,248,1102,4316,1215,4334,0.04771293375394322,0.04889589905362776,0.21727129337539433,0.8509463722397477,0.23955047318611988,0.8544952681388013
0.31,235,234,1084,4298,1196,4316,0.04633280757097792,0.04613564668769716,0.2137223974763407,0.847397476340694,0.2358044164037855,0.8509463722397477
0.32,228,223,1070,4280,1180,4296,0.044952681388012616,0.04396687697160883,0.2109621451104101,0.8438485804416404,0.23264984227129337,0.8470031545741324
0.33,220,211,1061,4266,1167,4281,0.04337539432176656,0.041600946372239746,0.20918769716088328,0.8410883280757098,0.23008675078864355,0.8440457413249212
0.34,210,203,1046,4252,1151,4268,0.04140378548895899,0.04002365930599369,0.20623028391167192,0.8383280757097792,0.22693217665615142,0.8414826498422713
0.35000000000000003,204,190,1035,4231,1137,4247,0.04022082018927445,0.03746056782334385,0.2040615141955836,0.8341876971608833,0.22417192429022081,0.8373422712933754
0.36,197,185,1024,4215,1125,4231,0.03884069400630915,0.036474763406940065,0.20189274447949526,0.8310331230283912,0.22180599369085174,0.8341876971608833
0.37,193,176,1013,4200,1113,4215,0.03805205047318612,0.03470031545741325,0.19972397476340695,0.8280757097791798,0.21944006309148265,0.8310331230283912
0.38,188,173,1004,4178,1103,4193,0.03706624605678233,0.03410883280757098,0.19794952681388012,0.8237381703470031,0.2174684542586751,0.8266955835962145
0.39,181,167,996,4170,1092,4185,0.035686119873817035,0.03292586750788644,0.19637223974763407,0.8221608832807571,0.21529968454258674,0.8251182965299685
0.4,177,160,981,4160,1076,4175,0.034897476340694004,0.031545741324921134,0.1934148264984227,0.8201892744479495,0.21214511041009465,0.8231466876971609
0.41000000000000003,176,157,968,4150,1062,4165,0.03470031545741325,0.030954258675078863,0.19085173501577288,0.818217665615142,0.20938485804416404,0.8211750788643533
0.42,171,155,954,4130,1048,4145,0.03371451104100946,0.03055993690851735,0.18809148264984227,0.8142744479495269,0.20662460567823343,0.8172318611987381
0.43,164,146,937,4119,1031,4134,0.032334384858044164,0.028785488958990538,0.1847397476340694,0.8121056782334385,0.20327287066246058,0.8150630914826499
0.44,156,142,923,4105,1013,4120,0.030757097791798107,0.027996845425867507,0.1819794952681388,0.8093454258675079,0.19972397476340695,0.8123028391167192
0.45,151,138,915,4090,1004,4106,0.02977129337539432,0.02720820189274448,0.18040220820189273,0.8063880126182965,0.19794952681388012,0.8095425867507886
0.46,148,133,906,4083,995,4098,0.02917981072555205,0.026222397476340694,0.17862776025236593,0.8050078864353313,0.19617507886435331,0.8079652996845426
0.47000000000000003,145,126,897,4074,985,4088,0.02858832807570978,0.024842271293375396,0.17685331230283913,0.8032334384858044,0.19420347003154576,0.805993690851735
0.48,143,122,881,4060,969,4074,0.028194006309148267,0.024053627760252366,0.173698738170347,0.8004731861198738,0.19104889589905363,0.8032334384858044
0.49,136,119,868,4051,952,4065,0.026813880126182965,0.023462145110410094,0.17113564668769715,0.798698738170347,0.18769716088328076,0.8014589905362776
0.5,131,116,863,4039,945,4053,0.02582807570977918,0.022870662460567823,0.17014984227129337,0.7963328075709779,0.18631703470031546,0.7990930599369085
0.51,130,111,855,4026,937,4040,0.025630914826498423,0.021884858044164037,0.16857255520504733,0.793769716088328,0.1847397476340694,0.7965299684542587
0.52,128,107,847,4015,929,4029,0.025236593059936908,0.02109621451104101,0.16699526813880125,0.7916009463722398,0.18316246056782334,0.7943611987381703
0.53,123,102,837,3996,915,4012,0.02425078864353312,0.020110410094637224,0.1650236593059937,0.7878548895899053,0.18040220820189273,0.7910094637223974
0.54,120,98,827,3976,904,3993,0.02365930599369085,0.019321766561514197,0.16305205047318613,0.7839116719242902,0.17823343848580442,0.7872634069400631
0.55,117,95,813,3961,889,3978,0.02306782334384858,0.018730283911671926,0.16029179810725552,0.7809542586750788,0.17527602523659305,0.7843059936908517
0.56,116,89,813,3945,889,3961,0.022870662460567823,0.01754731861198738,0.16029179810725552,0.7777996845425867,0.17527602523659305,0.7809542586750788
0.5700000000000001,114,85,804,3927,879,3941,0.022476340694006308,0.016758675078864353,0.15851735015772872,0.7742507886435331,0.1733044164037855,0.7770110410094637
0.58,110,85,798,3915,872,3929,0.02168769716088328,0.016758675078864353,0.15733438485804416,0.7718848580441641,0.1719242902208202,0.7746451104100947
0.59,110,81,786,3905,862,3918,0.02168769716088328,0.015970031545741326,0.1549684542586751,0.7699132492113565,0.16995268138801262,0.7724763406940063
0.6,110,78,778,3890,855,3903,0.02168769716088328,0.015378548895899053,0.153391167192429,0.7669558359621451,0.16857255520504733,0.769518927444795
0.61,108,77,766,3880,842,3892,0.021293375394321766,0.015181388012618296,0.15102523659305994,0.7649842271293376,0.16600946372239747,0.7673501577287066
0.62,107,73,762,3862,838,3875,0.02109621451104101,0.014392744479495269,0.15023659305993692,0.761435331230284,0.16522082018927445,0.7639984227129337
0.63,104,69,746,3842,820,3855,0.02050473186119874,0.01360410094637224,0.1470820189274448,0.7574921135646687,0.16167192429022081,0.7600552050473186
0.64,100,66,739,3824,810,3836,0.01971608832807571,0.013012618296529969,0.1457018927444795,0.7539432176656151,0.15970031545741326,0.7563091482649842
0.65,98,63,730,3806,800,3817,0.019321766561514197,0.012421135646687698,0.14392744479495267,0.7503943217665615,0.15772870662460567,0.7525630914826499
0.66,96,62,723,3791,791,3802,0.01892744479495268,0.01222397476340694,0.14254731861198738,0.7474369085173501,0.15595425867507887,0.7496056782334385
0.67,95,60,715,3779,782,3789,0.018730283911671926,0.011829652996845425,0.14097003154574134,0.745070977917981,0.15417981072555206,0.7470425867507886
0.68,92,58,712,3758,778,3769,0.018138801261829655,0.011435331230283912,0.14037854889589904,0.7409305993690851,0.153391167192429,0.7430993690851735
0.6900000000000001,91,58,707,3744,772,3755,0.017941640378548895,0.011435331230283912,0.13939274447949526,0.7381703470031545,0.15220820189274448,0.7403391167192429
0.7000000000000001,89,56,701,3724,766,3736,0.01754731861198738,0.011041009463722398,0.13820977917981073,0.7342271293375394,0.15102523659305994,0.7365930599369085
0.71,87,55,691,3705,756,3717,0.01715299684542587,0.01084384858044164,0.13623817034700317,0.730481072555205,0.14905362776025236,0.7328470031545742
0.72,85,53,682,3693,747,3704,0.016758675078864353,0.010449526813880125,0.13446372239747634,0.7281151419558359,0.14727917981072555,0.7302839116719243
0.73,82,52,676,3679,740,3691,0.016167192429022082,0.01025236593059937,0.1332807570977918,0.7253548895899053,0.14589905362776026,0.7277208201892744
0.74,80,51,667,3671,729,3683,0.015772870662460567,0.010055205047318612,0.13150630914826497,0.7237776025236593,0.14373028391167192,0.7261435331230284
0.75,78,48,661,3658,721,3669,0.015378548895899053,0.00946372239747634,0.13032334384858044,0.7212145110410094,0.14215299684542587,0.7233832807570978
0.76,76,46,652,3642,711,3653,0.01498422712933754,0.009069400630914827,0.12854889589905363,0.7180599369085173,0.14018138801261829,0.7202287066246057
0.77,75,45,644,3631,703,3642,0.014787066246056782,0.00887223974763407,0.12697160883280756,0.7158911671924291,0.13860410094637224,0.7180599369085173
0.78,73,45,636,3617,694,3628,0.014392744479495269,0.00887223974763407,0.1253943217665615,0.7131309148264984,0.13682965299684544,0.7152996845425867
0.79,72,45,631,3605,688,3616,0.014195583596214511,0.00887223974763407,0.12440851735015773,0.7107649842271293,0.13564668769716087,0.7129337539432177
0.8,72,43,627,3589,684,3600,0.014195583596214511,0.008477917981072555,0.1236198738170347,0.7076104100946372,0.13485804416403785,0.7097791798107256
0.81,70,41,618,3571,673,3582,0.013801261829652996,0.008083596214511041,0.12184542586750789,0.7040615141955836,0.13268927444794953,0.706230283911672
0.8200000000000001,69,40,610,3556,666,3566,0.01360410094637224,0.007886435331230283,0.12026813880126183,0.7011041009463722,0.13130914826498422,0.7030757097791798
0.8300000000000001,69,40,607,3529,663,3539,0.01360410094637224,0.007886435331230283,0.11967665615141956,0.6957807570977917,0.13071766561514195,0.6977523659305994
0.84,68,39,600,3517,655,3527,0.013406940063091483,0.007689274447949527,0.11829652996845426,0.6934148264984227,0.1291403785488959,0.6953864353312302
0.85,67,39,593,3505,647,3515,0.013209779179810725,0.007689274447949527,0.11691640378548895,0.6910488958990536,0.12756309148264985,0.6930205047318612
0.86,67,39,586,3487,640,3497,0.013209779179810725,0.007689274447949527,0.11553627760252366,0.6875,0.12618296529968454,0.6894716088328076
0.87,66,38,581,3465,634,3474,0.013012618296529969,0.00749211356466877,0.11455047318611987,0.6831624605678234,0.125,0.6849369085173501
0.88,65,38,575,3451,628,3460,0.012815457413249211,0.00749211356466877,0.11336750788643533,0.6804022082018928,0.12381703470031545,0.6821766561514195
0.89,64,38,567,3427,619,3437,0.012618296529968454,0.00749211356466877,0.11179022082018927,0.6756703470031545,0.12204258675078865,0.6776419558359621
0.9,62,38,560,3405,610,3416,0.01222397476340694,0.00749211356466877,0.11041009463722397,0.6713328075709779,0.12026813880126183,0.6735015772870663
0.91,62,35,553,3385,603,3394,0.01222397476340694,0.006900630914826498,0.10902996845425868,0.6673895899053628,0.11888801261829653,0.6691640378548895
0.92,62,32,550,3364,600,3372,0.01222397476340694,0.006309148264984227,0.10843848580441641,0.6632492113564669,0.11829652996845426,0.6648264984227129
0.93,60,32,542,3343,590,3351,0.011829652996845425,0.006309148264984227,0.10686119873817035,0.6591088328075709,0.11632492113564669,0.660686119873817
0.9400000000000001,60,31,533,3325,581,3332,0.011829652996845425,0.00611198738170347,0.10508675078864353,0.6555599369085173,0.11455047318611987,0.6569400630914827
0.9500000000000001,60,29,526,3307,574,3313,0.011829652996845425,0.005717665615141956,0.10370662460567823,0.6520110410094637,0.11317034700315458,0.6531940063091483
0.96,58,28,518,3286,564,3292,0.011435331230283912,0.005520504731861199,0.10212933753943218,0.6478706624605678,0.111198738170347,0.6490536277602523
0.97,57,28,515,3267,560,3273,0.011238170347003154,0.005520504731861199,0.1015378548895899,0.6441246056782335,0.11041009463722397,0.645307570977918
0.98,57,25,505,3246,550,3250,0.011238170347003154,0.004929022082018927,0.09956624605678234,0.6399842271293376,0.10843848580441641,0.6407728706624606
